Customer_ID,Customer_Name,Age,Gender,Country,State,Email,Phone_Number,Signup_Date
C1000,Charvi Sibal,42,Female,India,Delhi,nandini30@example.net,913819000000.0,2025-01-26
C1001,Hritik Gala,25,Female,USA,Karnataka,harshildhar@example.com,2232728557.0,2024-01-15
C1002,Adya Sunder,42,Male,USA,Maharashtra,kritikagade@example.org,5490818200.0,2023-12-06
C1003,Ekiya Palan,25,Female,USA,Tamil Nadu,anyamuni@example.net,8147269756.0,2022-03-28
C1004,Vedant Krishna,25,Female,USA,Karnataka,harrisonshere@example.org,914807000000.0,2024-02-08
C1005,Kashish Subramaniam,25,Female,India,Delhi,chakradharsachdev@example.org,987155828.0,2021-06-15
C1006,Vasana Butala,42,Female,UK,Delhi,geetikagopal@example.org,918001000000.0,2023-11-03
C1007,Vivaan Brahmbhatt,25,Male,UK,Delhi,advik92@example.org,6441736703.0,2024-05-01
C1008,Adya Goswami,19,Female,India,Tamil Nadu,xluthra@example.org,6151395095.0,2021-04-16
C1009,Manthan Batra,30,Female,India,Tamil Nadu,seshadrimanan@example.org,9734318409.0,2025-12-11
C1010,Chandani Bali,25,Female,India,Tamil Nadu,ymittal@example.org,9830078722.0,2024-01-02
C1011,Xiti Dixit,30,Female,USA,Tamil Nadu,dorazayan@example.net,914268000000.0,2021-05-11
C1012,Lakshmi Saraf,30,Female,India,Karnataka,gaurika30@example.org,913426000000.0,2021-06-11
C1013,Ojas Ramanathan,25,Male,UK,Maharashtra,dvenkatesh@example.com,1110652479.0,2024-10-04
C1014,Harrison Dora,30,Female,Australia,Karnataka,patlaaarna@example.com,8651190088.0,2022-12-15
C1015,Om Sodhi,30,Female,USA,Karnataka,praval@example.net,4248074242.0,2021-04-06
C1016,Kashish Acharya,25,Female,Australia,Delhi,thomasmorar@example.net,196487255.0,2023-10-15
C1017,Bachittar Cherian,51,Female,Australia,Tamil Nadu,gthaman@example.net,4487269447.0,2025-05-16
C1018,Theodore Setty,25,Male,India,Maharashtra,saneanusha@example.org,919093000000.0,2024-04-16
C1019,Tripti Sachdeva,24,Female,India,Delhi,zrai@example.net,5234203786.0,2024-01-12
C1020,Ayush Bora,42,Female,UAE,Tamil Nadu,nadigvivaan@example.com,4986831993.0,2022-06-04
C1021,Bishakha Sura,51,Male,UAE,Maharashtra,pratyushparekh@example.org,759629063.0,2021-08-27
C1022,Yug Mittal,25,Male,UAE,Karnataka,ynaik@example.net,7115945402.0,2021-07-27
C1023,Yochana Iyer,25,Female,UAE,Delhi,buchgabriel@example.net,915940000000.0,2023-05-16
