Customer_ID,Customer_Name,Age,Gender,Country,STATE,Email,Phone_Number,Signup_Date
C1000,Charvi Sibal,forty two,,India,delhi,nandini30@example.net,9.13819E+11,1/26/2025
C1001,Hritik Gala,twenty five,,usa,karnataka,harshildhar@example.com,2232728557,1/15/2024
C1002,Adya Sunder,forty two,M ,USA,Maharashtra,kritikagade@example.org,5490818200,12/6/2023
C1003,Ekiya Palan,twenty five,Fem,usa,tamilnadu,anyamuni@example.net,8147269756,3/28/2022
C1004,Vedant Krishna,twenty five,F,USA,karnataka,harrisonshere@example.org,9.14807E+11,2/8/2024
C1005,Kashish Subramaniam,twenty five,F,Bharat,Delhi,chakradharsachdev@example.org,987155828,6/15/2021
C1006,Vasana Butala,forty two,female,uk,DL,geetikagopal@example.org,9.18001E+11,11/3/2023
C1007,Vivaan Brahmbhatt,twenty five,M ,UK,delhi,advik92@example.org,6441736703,5/1/2024
C1008,Adya Goswami,19,,Bharat,Tamil Nadu,xluthra@example.org,6151395095,4/16/2021
C1009,Manthan Batra,thirty,F,IND,tamilnadu,seshadrimanan@example.org,9734318409,12/11/2025
C1010,Chandani Bali,twenty five,F,india,Tamil Nadu,ymittal@example.org,9830078722,1/2/2024
C1011,Xiti Dixit,thirty,female,USA,TN,dorazayan@example.net,9.14268E+11,5/11/2021
C1012,Lakshmi Saraf,thirty,F,IND,karnataka,gaurika30@example.org,9.13426E+11,6/11/2021
C1013,Ojas Ramanathan,twenty five,Male,UK,MH,dvenkatesh@example.com,1110652479,10/4/2024
C1014,Harrison Dora,thirty,F,Australia,karnataka,patlaaarna@example.com,8651190088,12/15/2022
C1015,Om Sodhi,thirty,Fem,USA,KA,praval@example.net,4248074242,4/6/2021
C1016,Kashish Acharya,twenty five,Fem,australia,delhi,thomasmorar@example.net,196487255,10/15/2023
C1017,Bachittar Cherian,51,female,Australia,tamilnadu,gthaman@example.net,4487269447,5/16/2025
C1018,Theodore Setty,twenty five,M ,india,maharastra,saneanusha@example.org,9.19093E+11,4/16/2024
C1019,Tripti Sachdeva,24,F,IND,delhi,zrai@example.net,5234203786,1/12/2024
C1020,Ayush Bora,forty two,Fem,uae,tamilnadu,nadigvivaan@example.com,4986831993,6/4/2022
C1021,Bishakha Sura,51,M ,uae,MH,pratyushparekh@example.org,759629063,8/27/2021
C1022,Yug Mittal,twenty five,Male,uae,Karnataka,ynaik@example.net,7115945402,7/27/2021
